ID_VENTA,ID_CLIENTE,ID_PRODUCTO,Cantidad
703341255,65917772,80594109,36
161428328,11364882,79694131,30
152083329,59447379,96470312,43
169142647,46271648,62784480,15
791649253,68549586,15196424,39
338388450,60071781,67200907,25
142480929,68107722,91458107,46
931188554,85440897,22391476,16
712748410,33399996,16257790,35
942179938,84252077,94602618,21
229525864,57634057,14920180,11
461096790,22253286,57892797,48
184150980,65313728,64400475,26
132009663,77637060,69661166,42
512456960,29883842,21628759,1
158184804,20447780,71887554,43
242443454,55843464,40351170,22
890373515,13156964,81111602,4
904924287,55569304,98173839,32
636744104,78546305,40593904,19
638253880,65764577,80072569,45
816756515,10895675,22312849,44
929967177,31985806,92368406,38
518185540,87860944,85943146,1
402172458,48463442,62648296,9
941722694,97582477,66988695,16
778662846,24212731,44673663,48
740970884,87589393,32758801,33
942249797,60331967,63263775,30
970887293,80276077,73427195,4
510713587,54277459,69364068,31
838621218,41179867,47275345,44
792081706,77004830,32680771,4
880965519,84502287,76201553,33
121652834,34941460,90341418,50
621970171,89001711,20031855,23
763476011,79556912,31367561,12
453102588,15575299,77954787,47
802992293,50443382,49930939,17
736116388,30169228,41571110,8
793838445,56939607,41970306,13
685285448,55898017,84190630,42
145097688,61809794,22746254,34
344097810,11723644,91678825,8
998359989,18172510,76146132,23
207117706,69742158,66704949,44
444881340,62089959,14660026,31
459666988,11571578,71767261,8
539248488,59358878,38047418,13
480221407,78789724,17653487,42
914235457,26308111,52233639,23
902173848,93463170,92889462,47
229586818,11854586,60006112,34
821169604,76007041,42576967,30
567418577,91884768,87145382,4
732708632,83794219,83397390,37
837783740,58893785,39323391,1
709143091,98965748,46239891,48
400710343,26023131,62904698,23
557153049,30086955,91024423,3
494431784,76423420,26304366,10
798828634,55037522,59725242,19
442088139,37280052,82515899,19
771660845,31844669,75565598,10
240722555,30152058,36548339,10
564083631,22159555,30684114,20
326383293,10447188,48458106,16
160163745,10427478,74416120,46
773397004,76580916,85803222,29
411480629,91537381,25734971,35
565269697,45470884,14076933,5
102016583,64510936,24442701,28
702745592,71856288,97658181,46
748256279,34419248,70157560,20
420853387,34739157,36405342,31
272217237,60051617,25948529,35
147711254,33617032,56163270,16
396667604,33870933,22590013,5
893191054,86724698,39208956,2
978287894,79560520,22381718,49
891977544,65465571,11585060,17
870116808,66040258,35114094,2
253962196,26125658,65428970,21
955449311,96401238,55084979,33
528342389,36181111,83537420,13
161529341,93391156,44887094,4
785382782,37097136,89469370,22
945215004,28122849,69006364,15
879900051,41304980,75663645,27
546848327,86217417,29366342,7
390396719,26825652,96403696,33
865722431,78495151,59835235,47
156738412,17946031,62378601,29
119185618,67294324,83769239,28
993895778,58849922,79824626,43
962938677,81927530,84366976,32
713591613,24437316,29434958,24
959246260,19120630,93670223,15
100277434,59823948,28122378,25
444425782,95202399,47888075,18
789927791,46900483,31301779,27
520121522,69604549,67634159,43
370835255,59484105,88618274,13
263094590,51238983,93904949,9
455922945,91922967,98157500,28
191935608,51855622,33460367,28
627259764,76103281,21354244,17
982089117,16759784,13724099,12
467451828,69801809,35217986,43
946093037,39478936,90484577,16
858688970,28263013,51808130,28
705835592,93966941,59679362,13
577402917,14107732,57895691,5
181451828,90860331,48860042,37
232342268,63276958,27618360,31
283157215,34405532,69879484,36
312901793,56859406,11708457,26
589052834,50285267,59291473,30
857041239,52319570,95958023,46
759267890,20131252,77051416,13
390574683,50378514,21303835,9
216887118,15429276,90030317,47
101180042,35464121,80098940,25
279236678,20986633,11527917,46
273043068,51139379,55633041,32
979618707,54672009,54559080,32
557893247,36965050,35005078,20
200955734,30119524,83845210,1
276021845,78987410,44411968,23
705931933,55771840,81122301,47
546762199,52862228,26234735,29
791330370,42394499,29297908,5
176831486,75046936,56405214,45
658539402,87630247,89781593,29
291606944,44783117,56799444,12
381712225,81451748,71666409,3
251313692,31258207,49049654,33
892860471,48132593,27848995,32
584686645,22317730,91755526,39
375323405,80813909,79400838,50
228785282,83749195,64646980,8
106808424,98220779,69831571,17
131834383,80328635,99086816,13
672347948,79791958,75168433,14
764663435,88979139,75503078,23
439346817,53668842,80873069,16
228475193,31972944,11661263,8
380415470,65644837,25502579,50
377186823,13297634,30040709,39
856152023,98926763,33548597,31
469379480,62134727,63419022,5
974719591,82599566,97322615,36
333898060,89762732,57179620,2
127445667,52847333,87986268,16
173466095,68739488,94551734,8
170935299,52817143,22513330,11
649259567,62274841,34289131,26
214064035,26838976,82698917,46
613579044,85882613,70660156,29
