Costo_unitario,ID_producto,ID_compra,ID_proveedor,Cantidad
152.98,80594109,73626313,72167477,87
1968.06,79694131,94084341,62047888,68
2577.29,96470312,69610335,42015971,76
2332.24,62784480,81411138,44697919,65
1011.28,15196424,39065399,87299570,97
874.81,67200907,18067724,69674874,99
863.57,91458107,11068400,22790114,50
1369.45,22391476,26808621,82833025,75
1427.97,16257790,72393428,61418894,65
1000.95,94602618,40396622,43828366,72
1330.27,14920180,82634594,12648509,68
726.91,57892797,20065655,51354048,50
1156.64,64400475,82183024,61747208,82
793.08,69661166,75378042,20204889,95
2499.6,21628759,66618395,85272495,83
2850.79,71887554,63098917,48813660,97
2266.25,40351170,35551986,40382399,65
755.61,81111602,67472885,49108443,74
2831.77,98173839,59938544,10067585,69
2638.46,40593904,85357927,21433566,70
168.05,80072569,43407739,31607116,76
2905.86,22312849,70284020,61340601,61
2309.38,92368406,38173117,79468513,78
561.93,85943146,75054093,59350677,74
810.17,62648296,54508986,24923939,51
839.42,66988695,60625400,19310157,82
1714.38,44673663,11308920,46254022,86
2010.56,32758801,62472927,33083750,96
467.91,63263775,31643490,48535886,80
2088.48,73427195,16541226,53109891,63
2526.15,69364068,37670100,75721703,52
2994.39,47275345,59972059,30746112,74
963.82,32680771,67368192,94496415,81
154.69,76201553,77809130,82419006,84
1966.95,90341418,71657104,31498005,71
2871.59,20031855,17926446,16159188,66
2702.82,31367561,76672027,75778109,84
2775.61,77954787,83770253,61094787,80
2200.86,49930939,73579424,56062264,91
2953.7,41571110,97631458,22600625,84
1048.02,41970306,90173749,87927193,77
224.11,84190630,59208360,44142276,85
2438.59,22746254,43563956,88376399,100
2644.75,91678825,94464743,15336173,56
744.52,76146132,37694265,56302281,86
2327.78,66704949,25962054,77409570,90
573.63,14660026,97157025,93541046,55
30.28,71767261,42345574,11208496,62
1007.96,38047418,79593773,96863039,77
809.77,17653487,84499119,81621400,62
1287.04,52233639,73132002,15340423,66
1882.28,92889462,11724475,97439222,77
37.12,60006112,41115795,28315417,85
2091.81,42576967,23621486,72560306,86
2987.79,87145382,86501353,11436160,58
430.48,83397390,60491468,15189575,71
2581.17,39323391,88707314,27524093,86
2058.19,46239891,60486785,60658704,57
977.05,62904698,50255421,18803166,56
2877.23,91024423,57422181,61414796,65
2923.39,26304366,90015611,54228838,56
2849.89,59725242,52344318,74232603,57
1944.75,82515899,25199442,57449905,79
645.35,75565598,80979060,16276145,88
986.55,36548339,32112785,28667165,76
1672.41,30684114,99845051,49351000,50
2848.32,48458106,92613842,16318391,52
2621.68,74416120,91483961,30387816,75
1778.75,85803222,71492977,65205715,55
1366.98,25734971,21549089,58303821,77
1912.29,14076933,61268581,32789875,78
2138.04,24442701,35328682,54544432,76
395.34,97658181,51748610,37492662,69
1429.68,70157560,35596057,13651552,55
2245.23,36405342,96710770,59055502,75
1686.72,25948529,94948431,37971516,56
1413.18,56163270,47923691,64727613,63
2220.07,22590013,79546292,71973367,51
934.4,39208956,88077091,44188682,94
2279.62,22381718,76906630,11480620,54
690.78,11585060,88302031,83490528,87
234.63,35114094,37275949,21523508,68
2825.91,65428970,41882906,90071154,69
885.13,55084979,76563769,77041000,84
594.86,83537420,81264325,96376821,90
1237.16,44887094,50317000,83750489,75
1582.37,89469370,28254819,66982709,83
2832.55,69006364,38986874,32313873,94
1772.06,75663645,87453322,81633139,74
2833.18,29366342,48867302,87732116,90
2061.49,96403696,72544254,77295353,66
2823.28,59835235,27598214,26241803,52
2564.2,62378601,60658964,76527663,53
467.3,83769239,16489839,22028164,94
2202.26,79824626,18087161,34149340,97
1898.93,84366976,27712904,84847059,67
612.36,29434958,76099739,97320895,78
2418.64,93670223,69876352,39565208,98
2338.43,28122378,35465663,39727387,54
1358.52,47888075,58711597,37351842,72
1303.54,31301779,85719074,60354172,98
180.96,67634159,35681788,81719766,98
1104.06,88618274,16571345,48457540,98
2028.43,93904949,59265122,57297720,63
851.73,98157500,25535010,85329205,70
683.21,33460367,14832970,83445138,98
673.71,21354244,85409756,47054203,74
1022.19,13724099,93278671,53725024,52
