ID_PRODUCTO,PrecioVenta,Impuesto
22926776,697.7,83.93
81700743,914.72,144.08
25922415,200.0,27.3
84090643,461.2,63.62
36341507,1061.22,153.17
20069421,2901.25,338.44
77804245,2320.3,375.09
97570954,15.18,1.98
30537786,297.49,37.42
60669286,1916.5,259.25
39198093,1309.58,228.33
47965680,1586.83,295.16
75723130,1004.81,115.54
81302424,3489.55,556.4
26181472,1747.38,269.49
80897537,2343.54,409.08
23485398,2249.01,448.03
96019105,1235.18,215.75
44368151,2934.66,307.76
83700162,3245.48,583.41
98920875,2761.33,347.68
16046337,2152.7,248.69
90365533,1954.3,221.02
96100409,108.77,13.31
13873087,798.86,98.29
32186923,385.31,58.11
21481562,2816.19,433.32
11036211,801.2,139.29
41735636,1594.83,219.91
97324985,1103.23,114.44
80374623,2211.74,324.7
16987054,809.41,82.24
80284860,1013.56,190.77
20992775,1571.66,268.66
60138607,35.93,4.38
20619954,3868.27,641.54
71023598,1812.45,209.31
99102092,1195.53,218.62
49498899,2544.23,470.5
23851017,2495.01,311.99
14694199,1410.89,200.21
60292507,574.33,72.45
65392581,706.91,87.87
56050320,1737.55,264.62
32315057,3668.42,638.61
33526130,1146.5,135.85
56866145,1551.81,220.97
54048189,128.64,23.21
29156332,662.88,70.62
99711200,3223.36,484.74
83161595,716.66,139.08
76417682,1837.98,273.25
26550340,2932.09,389.55
31550044,2564.63,265.59
31427996,2477.85,372.05
34245606,1381.84,243.56
32564702,191.72,36.44
79027898,487.16,62.8
19858083,1872.69,314.31
59097884,2025.43,212.92
79128873,3489.73,429.67
63441647,2827.33,420.01
74207799,2017.85,279.85
55491929,3219.22,553.81
41413565,2693.99,439.51
94125654,2106.97,330.45
46563700,1737.8,326.89
24590359,2763.28,310.87
20192656,2944.25,469.78
92958783,3133.99,545.24
98647171,3073.38,475.06
61360053,3320.17,489.83
84352927,2483.13,363.65
34312377,1500.28,268.11
69878213,917.25,98.65
64635505,1995.37,261.16
65430700,3687.18,518.29
73028003,2238.91,261.27
44494321,2540.51,497.2
45354999,2055.31,223.29
65497520,3347.59,340.28
31400488,3755.61,687.18
60886986,1023.63,149.85
97625824,1207.27,238.2
38535416,147.64,26.1
72783454,2569.67,265.76
74483250,2048.18,270.49
29050643,1696.32,318.1
67438285,3471.59,625.69
67965239,1507.1,224.89
14133135,3530.28,550.88
52418756,1598.06,228.71
84604798,3593.23,591.69
21815326,2614.79,376.56
85782901,394.36,66.02
62592174,166.32,22.11
38392120,254.97,42.1
47028019,2169.51,257.71
20515175,403.23,61.8
55747203,3201.98,427.53
47700675,3668.51,556.03
46901973,139.06,18.54
56722046,385.83,66.88
53757055,2462.94,256.3
44812304,2582.75,507.69
74775228,676.53,89.29
60589258,118.65,13.9
10765713,1625.59,313.94
40234340,3760.02,656.67
29827886,1180.21,128.72
47154861,353.43,42.8
88588008,1609.84,279.89
93484494,3844.02,592.53
59303904,3190.42,378.88
35353029,2137.04,425.26
63232382,3749.03,443.52
84880273,2471.07,375.03
10165916,477.56,55.16
46835961,2290.14,369.05
57017067,1396.5,151.02
80988726,1122.71,180.09
10434824,1740.32,334.98
76286668,3232.58,637.44
19706032,1158.38,132.59
68346568,1585.13,284.8
91189252,3429.53,512.61
40141185,1733.72,236.94
97903181,1840.44,347.74
17313284,2359.43,385.86
93328053,1450.06,151.96
63813328,2445.62,445.02
89765152,1275.25,159.91
75832699,158.56,30.24
89052076,907.46,147.25
78159966,1891.41,350.48
83887705,3639.93,638.7
44109631,340.99,49.41
35132253,1190.79,140.54
42454064,1084.65,137.67
70164911,1303.71,199.73
14306782,3464.72,684.45
30292458,1980.02,328.16
89190469,3319.39,645.58
47822036,3515.01,701.37
56636573,1287.6,191.61
69768641,2336.91,454.7
62103361,805.16,137.47
69016055,3281.72,511.08
56999181,764.62,82.12
41862231,51.91,7.72
23954665,2199.55,304.46
48005888,734.08,105.46
45697401,660.14,128.22
91056520,698.91,120.02
29198400,3666.99,488.96
87629027,3630.91,508.86
75365653,382.68,72.18
84438506,1202.2,123.62
17606063,202.03,21.43
97380526,556.62,98.42
67650930,1193.75,224.91
23942832,2981.16,457.86
27956420,2363.05,334.47
55681154,3760.82,670.98
90536684,947.1,150.11
74569186,1483.09,283.47
10807880,1883.6,287.28
93138669,697.94,89.54
93846464,1844.8,234.42
62844242,2653.59,291.32
93032557,3356.17,600.69
84449526,331.1,40.4
35223414,1184.35,224.39
71509169,1014.36,154.63
57604448,1375.18,191.35
26251214,245.21,29.32
42872379,1269.11,222.2
22266363,1133.46,179.97
92105956,3862.83,418.68
76677089,134.13,22.94
56075432,2002.21,364.69
34459628,3773.46,398.14
84140827,2754.25,308.18
